japanese,reading,meaning,sinoVietnamese
改まる,あらたまる,được cải lại が 直る,CẢI
改める,あらためる,cải lại を 直す,CẢI
収まる・納まる・治まる,おさまる,"1.Lắng xuống, bình thường 2.Vừa vặn,nằm vừa vặn",
収める・納める・治める,おさめる,"1. Giành, đạt được, thu được「勝利を収める」「成功を収める」「いい結果を収める」 2 Làm dịu, làm lắng",
沿う・添う,そう,Chính là cái 期待にそう,
炒める,いためる,Xào,
兼ねる,かねる,"gồm, kiêm, kết hợp",KIÊM
適する,てきする,"(V) thích hợp, phù hợp 相当する",THÍCH
相当する,そうとうする,"tương ứng, tương đương 適する",TƯƠNG ĐƯƠNG
伴う,ともなう,"kèm theo, dẫn theo (連れる)",BẠN
響く,ひびく,"vang, vọng",HƯỞNG
次ぐ,つぐ,"(V)tiếp theo, tiếp sau 次(つぎ)",THỨ
略す,りゃくす,"lượt bớt, viết tắt, tóm gọn 略する、縮める、省く",LƯỢC
迫る,せまる,"Đến gần với, tiếp cận 近付く、近寄る",BÁCH
狙う,ねらう,nhắm vào Hướng đến,THƯ
犯す,おかす,xâm phạm phạm sai lầm,PHẠM
侵す,おかす,Xâm phạm ~犯す,XÂM
冒す,おかす,Mạo phạm,MẠO
脅す,おどす,bắt nạt đe dọa để làm gì đó( có mục đích),
脅かす,おどかす,đe dọa nhưng k có mục đích rõ ràng HÙ DỌA,
逆らう,さからう,"(V)phản đối, không tuân theo 誰に逆らう",NGHỊCH
妨げる,さまたげる,Sao mày CẢN tao ghê rứa PHƯƠNG ? :)) 交通を妨げる,
打ち消す,うちけす,"phủ nhận, bác bỏ",ĐẢ TIÊU
応じる,おうじる,"đáp ứng ( đặt hàng, sp , yêu cầu…) nhận lời ( lời mời tham gia, làm gì đó ) tùy vào ( năng lực, thỏa thuận….)",
承る,うけたまわる,"nghe, tiếp nhận; chấp nhận 頂戴する",THỪA
頂戴する,ちょうだい,khiêm nhường của もらう,
学ぶ,まなぶ,học,HỌC
練る,ねる,"trau chuốt, hoạch định",LUYỆN
負う,おう,"mang, vác を 担ぐ、抱える",PHỤ
果たす,はたす,hoàn thành,QUẢ
引き受ける,ひきうける,"đảm nhận, đảm nhiệm 受け持つ、就く、受け入れる",
増す,ます,"tăng lên, lớn hơn",TĂNG
欠ける,かける,"bị sứt, khuyết, thiếu が",KHIẾM
欠かす,かかす,"Thiếu, bỏ qua (Lack, miss..)",KHIẾM
澄む,すむ,"trong lành, trong sạch",TRỪNG
濁る,にごる,"đục, đục ngầu が",TRỌC
濁す,にごす,"(V) mơ hồ, trở nên k rõ ràng を",TRỌC
生じる,しょうじる,"(V)phát sinh, nảy sinh 発生",SANH
及ぶ,およぶ,"đạt đến, bằng に (至る、達す、達する)",CẬP
及ぼす,およぼす,"(V) làm liên lụy , ảnh hưởng người khác を",CẬP
至る,いたる,"đạt đến, đến 達する、達す、及ぶ",CHÍ
達する,たっする,"đến, đạt đến 至る、達す、及ぶ",ĐẠT
実る,みのる,đạt kết quả; ra hoa kết trái,THỰC
暮れる,くれる,"Lặn (mặt trời); hết (ngày, năm)",MỘ
劣る,おとる,"kém hơn, thấp hơn",LIỆT
異なる,ことなる,"(V)khác, khác với 違う",DỊ
乱れる,みだれる,"bị loạn, rối loạn が",LOẠN
乱す,みだす,"chen ngang, làm loạn を",LOẠN
緩む,ゆるむ,"bị lỏng, lỏng lẻo, mềm đi が",HOÃN
緩める,ゆるめる,"làm lỏng, nới lỏng, làm giảm を",HOÃN
錆びる,さびる,bị rỉ sét,
接する,せっする,"tiếp giáp, tiếp xúc, nhận 触れる",TIẾP
属する,ぞくする,.～にぞくする (thuộc vào nhóm ...),
占める,しめる,"chiếm, giữ (vị trí)",CHIÊM
草臥れる,くたびれる,"bị mệt, bị chán 草: cỏ ,(臥): nằm,hình ảnh cỏ nằm rạp sau mưa gió,ra nghĩa từ này là mệt rã rời, rũ rượi, mệt nhoài, mệt lã, hay tơi tả",THẢO NGỌA
恵まれる,めぐまれる,được ban ân huệ に,HUỆ
湧く,わく,sôi sục,DŨNG
微笑む,ほほえむ,mỉm cười,VI TIẾU
不山戯る,ふざける,"đùa cợt, hiếu động",BẤT SAN HÍ
悔やむ,くやむ,"(V)hối tiếc, hối hận 後悔する",HỐI
躊躇う,ためらう,"chần chừ, do dự, lưỡng lự",TRÙ TRỪ
敬う,うやまう,(V)tôn trọng,KÍNH
編む,あむ,đan,
