japanese,reading,meaning,sinoVietnamese
飛び込む,とびこむ,"nhảy vào, lao mình vào", PHI NHẬP
駆け込む,かけこむ,chạy bổ vào; đâm sầm vào, KHU NHẬP
割り込む,わりこむ,chen vào; xen ngang ,CÁT NHẬP
差し込む,さしこむ,cắm vào ,SAI NHẬP
染み込む,しみこむ,"thấm vào trong, thấm qua", NHIỄM NHẬP
引っ込む,ひっこむ,lui vào trong, DẪN NHẬP
詰め込む,つめこむ,nhét vào; tống vào, CẬT NHẬP
飲み込む,のみこむ,"Nuốt chửng/n Tiếp thu, hiểu",
運び込む,はこびこむ,mang vào bên trong ,VẬN NHẬP
打ち込む,うちこむ,Đóng vào(đinh); găm vào; nhập vào (thông tin ), ĐẢ NHẬP
注ぎ込む,そそぎこむ,dồn hết vào，đổ vào, CHÚ NHẬP
引き込む,ひきこむ,"lôi kéo vào, dẫn vào", DẪN NHẬP
書き込む,かきこむ,"ghi vào, viết vào", THƯ NHẬP
巻き込む,まきこむ,Dính líu,
追い込む,おいこむ,"Lùa vào, đưa vào",
呼び込む,よびこむ,"Gọi vào, mời gọi",
座り込む,すわりこむ,Ngồi lì Ngồi bệt xuống vì chán,
寝込む,ねこむ,Nằm liệt giường,
話し込む,はなしこむ,Nhập tâm nói chuyện gì đó,
黙り込む,だまりこむ,chìm vào yên lặng; nín lặng, MẶC NHẬP
泊まり込む,とまりこむ,"3 tại chỗ (sản xuất, ăn, ngủ) để chống Covid mà VN đang áp dụng.",
住み込む,すみこむ,"Ở nhờ, ăn nhờ ở đậu",
煮込む,にこむ,"nấu chung (hỗn hợp thịt, cá, rau, củ quả... cho vào nấu chung)",
売り込む,うりこむ,tiếp thị sản phẩm,
頼み込む,たのみこむ,yêu cầu khẩn khoản, LẠI NHẬP
教え込む,おしえこむ,◆ Đưa vào dạy dỗ,
話し合う,はなしあう,= 相談する,
言い合う,いいあう,"tranh luận. cãi cọ,lời qua tiếng lại, nói qua nói lại", NGÔN HỢP
語り合う,かたりあう,"Nói chuyện với nhau, kể cho nhau nghe", NGỮ HỢP
見つめ合う,みつめあう,Nhìn chằm chằm vào nhau ,KIẾN HỢP
向かい合う,むかいあう,đối diện;đối mặt với nhau ,HƯỚNG HỢP
助け合う,たすけあう,hợp tác giúp đỡ lẫn nhau ,TRỢ HỢP
分け合う,わけあう,"chia sẻ, chia sớt, chia đều ra.. ",PHÂN HỢP
出し合う,だしあう,cùng góp phần,
申し合わせる,もうしあわせる,thu xếp ,THÂN HỢP
誘い合わせる,さそいあわせる,hẹn nhau, DỤ HỢP
打ち明ける,うちあける,Làm sáng tỏ,
組み合わせる,くみあわせる,Ghép các phần lại với nhau,
詰め合わせる,つめあわせる,"đóng gói,đóng hộp", CẬT HỢP
思い込む,おもいこむ,Đinh ninh,
居合わせる,いあわせる,"ちょうどその場にいる。ở vào đúng hoàn cảnh, tình huống đó.",
乗り合わせる,のりあわせる,tình cờ đi cùng chuyến xe,
持ち合わせる,もちあわせる,IN STOCK,
問い合わせる,といあわせる,Hỏi ( mang tính chất nhờ tư vấn qua thiết bị nào đó) IT: query,
照らし合わせる,てらしあわせる,"so sánh, đối chiếu  CHIẾU xem có HỢP hay không",CHIẾU HỢP
聞き直す,ききなおす,NGhe lại hỏi lại,
やり直す,やりなおす,làm lại ,TRỰC
かけ直す,かけなおす,gọi lại ,TRỰC
出直す,でなおす,留守でしたら明日また出直します: nếu vắng nhà thì mai sẽ lại đến lại 過去を忘れて一から出直す: quên quá khứ đi bắt đầu lại từ đầu,
持ち直す,もちなおす,病気/天気…が持ち直す。Bệnh tình/thời tiết chuyển biến tốt hơn.,
考え直す,かんがえなおす,"xem lại , suy nghĩ lại ",KHẢO TRỰC
思い直す,おもいなおす,đổi ý,
追いつく,おいつく,Đuổi kịp,
追い越す,おいこす,Vượt qua,
思いつく,おもいつく,Nảy ra,
取り消す,とりけす,"Thủ tiêu, tiêu hủy",
取り戻す,とりもどす,Thu hồi,
取り替える,とりかえる,"Đổi, trao đổi",
取り出す,とりだす,"Rút ra, chọn ra",
取り入れる,とりいれる,Đưa vào áp dụng,
溶け込む,とけこむ,Hòa nhập vào môi trường mới Tan vào,
引き受ける,ひきうける,Đảm nhiệm,
差し引く,さしひく,Khấu trừ,
立て替える,たてかえる,Thanh toán trước,
