japanese,reading,meaning,sinoVietnamese
詳細な,しょうさいな,"Chi tiết, tường tận",TƯỜNG TẾ
緻密な,ちみつな,Chính xác,TRÍ MẬT
まれな,まれな,"Hiếm, không phổ biến",
密かな,ひそかな,"Bí mật, riêng tưÂm thầm, thầm",MẬT
細やかな,こまやかな,"Giản dị, kỹ lưỡng",TẾ
ささやかな,ささやかな,"Khiêm tốn, nhỏ bé tầm thường",TẾ
ささいな,ささいな,"Nhỏ nhặt, không đáng kể",
切実な,せつじつな,"Khẩn cấp, nghiêm trọng",THIẾT THỰC
痛切な,つうせつな,Sâu sắc,THỐNG THIẾT
切ない,せつない,"Đau khổ, Luyến tiếcĐè nặng",THIẾT
鬱陶しい,うっとうしい,"U sầu, khó chịuÂm u (thời tiết)","U UẤT, ỨC"
煩わしい,わずらわしい,"Phức tạp, phiền phức",PHIỀN
厄介な,やっかいな,"Phiền phức, rắc rối",ÁCH GIỚI
容易い,たやすい,"Dễ dàng, đơn giản",DUNG DỊCH
思わしい,おもわしい,"Phù hợp, đạt yêu cầu, hài lòng",TƯ
悩ましい,なやましい,"Khó khăn (trăn trở) , quyến rũ",NÃO
手持ち無沙汰な,てもちぶさたな,"Không có gì để làm, chán nản",THỦ TRÌ VÔ XA THÁI
淡い,あわい,"Nhợt nhạt, nhạt nhẽo, mong manh",ĐẠM
淡白な,たんぱくな,"Nhạt, đạm bạc, chất phác",ĐẠM BẠCH
儚い,はかない,"Thoáng qua, phù du, ngắn ngủi",VŨ
あっけない,あっけない,"Không đủ, ngắn ngủi, quá nhanhVô vị, nhàm chán",
虚しい,むなしい,"Trống rỗng, phí công, vô ích",HƯ
なだらかな,なだらかな,"Nhẹ nhàng, thỏa mái",
緩やかな,ゆるやかな,"Nhẹ nhàng, chậm rãi",HOÃN
のどかな,のどかな,"Yên tĩnh, thanh bình",
和やかな,なごやかな,"Hòa nhã, êm dịu",HÒA
しなやかな,しなやかな,Mềm dẻo,
掛け替えのない,かけがえのない,"Không thể thay thế được, vô giá",QUẢI THẾ
格別な,かくべつな,Ngọai lệ,CÁCH BIỆT
画期的な,かっきてきな,Đột phá,HỌA KỲ ĐÍCH
重宝な,ちょうほうな,"Quý báu, tiện lợi, hữu ích",TRỌNG BẢO
無難な,ぶなんな,An toàn,VÔ NẠN
画一的な,かくいつてきな,Tiêu chuẩn,HỌA NHẤT ĐÍCH
紛らわしい,まぎらわしい,"Gây hiểu lầm, dễ nhầm lẫn",PHÂN
生ぬるい,なまぬるい,"Ấm áp, mềm mỏng",SINH
強かな,したたかな,"Cứng rắn, khắt khe",CƯỜNG
脆い,もろい,"Dễ vỡ, mong manh, yếu đuối",THÚY
危うい,あやうい,"Nguy hiểm, suýt chết",NGUY
ややこしい,ややこしい,"Phiền phức, phức tạp, lộn xộn dễ nhầm lẫn",
まちまちな,まちまちな,"Đa dạng, phong phú, muôn hình muôn vẻ.",
生々しい,なまなましい,"Sinh động, sống động",SINH
露骨な,ろこつな,"Thẳng thắn, trơ tráo",LỘ CỐT
巧妙な,こうみょうな,"Đa mưu, khôn khéo, tài năng, tinh vi",XẢO DIỆU
重厚な,じゅうこうな,"Trang nghiêm, uy nghiTo lớn, đồ sộ",TRỌNG HẬU
厳かな,おごそかな,"Uy nghiêm, tráng lệ",NGHIÊM
希薄な,きはくな,"Mỏng manh, thưa, loãng",HI BẠC
旺盛な,おうせいな,"Khỏe, thịnh vượng, đầy sức sống, phấn chấn",VƯỢNG THỊNH
圧倒的な,あっとあてきな,"Áp đảo, Trầm trọng",ÁP ĐẢO ĐÍCH
生理的な,せいりてきな,"Tính sinh học, bản tính, bản năng",SINH LÝ ĐÍCH
致命的な,ちめいてきな,"Chí mạng, nghiêm trọng, chết người",CHÍ MỆNH ĐÍCH
著しい,いちじるしい,Một cách Đáng kể,TRỨ
顕著な,けんちょな,"Nổi bật, gây ấn tượng mạnh",HIỂN TRỨ
莫大な,ばくだいな,"Khổng lồ, to lớn",MẠC ĐẠI
夥しい,おびただしい,"Nhiều, vô số, một loạt",KHỎA
甚だしい,はなはだしい,"Cực kì, kinh khủng, quá mức",THẬM
端的な,たんてきな,"Rõ ràng, thẳng thắn",ĐOAN ĐÍCH
堪能な,たんのうな,"Giỏi, thành thạo, hài lòngTận hưởng, thưởng thức",KHAM NĂNG
主催,しゅさい,"Chủ trì, tổ chức",CHỦ THÔI
企画,きかく,"Kế hoạch, dự án",XÍ HỌA
趣旨,しゅし,"Ý đồ, mục đích",THÚ CHỈ
要領,ようりょう,"Phác thảo,sự khái quátTháo vát, lanh lợi",YÊU LĨNH
融通,ゆうずう,"Linh hoạt, khả năng học hỏi, vay (tiền)",DUNG THÔNG
便宜,べんき,"Tiện lợi, tiẹn nghi",TIỆN NGHI
駆使,くし,"Tận dụng, sử dụng miễn phí",KHU SỬ
実践,じっせん,Thực tiễn,THỰC TIỄN
着手,ちゃくしゅ,Bắt tay vào công việc,TRƯỚC THỦ
措置,そち,Biện pháp,THỐ TRÍ
是正,ぜせい,"Xem xét lại, chỉnh sửa lại",THỊ CHÍNH
