japanese,reading,meaning,sinoVietnamese
分かり切る,わかりきる,"Rõ ràng, đương nhiên",PHÂN THIẾT
困り切る,こまりきる,Khốn đốn,KHỐN THIẾT
澄み切る,すみきる,"Làm quang, trong xanh, làm yên lặng, làm mất vẻ cau có",TRỪNG THIẾT
押し切る,おしきる,"Quyết tâm đến cùng, bất chấp phản đối",ÁP THIẾT
言い切る,いいきる,"Tuyên bố, khẳng định",NGÔN THIẾT
踏み切る,ふみきる,"Quyết định, lao vào, bắt tay vào",ĐẠP THIẾT
取り返す,とりかえす,"Lấy lại, phục hồi, cứu vãn.",THỦ PHẢN
取立てる,とりたてる,"Thu thập, chỉ định, gây chú ý",THỦ LẬP
取り締まる,とりしまる,"Kiểm soát, quản lí, quản chế, giám đốc",THỦ ĐẾ
取り組む,とりくむ,"Nổ lực, chuyên tâm",THỦ TỔ
取り込む,とりこむ,"Nắm, cầm, thu nhận bận túi bụiImport",THỦ NHẬP
取り下げる,とりさげる,"Rút ra, từ bỏ, rút, cầm.",THỦ HẠ
取次ぐ,とりつぐ,"Chuyển giao, truyền đạt",THỦ THỨ
取り巻く,とりまく,"Bao quanh, vây quanh",THỦ QUYỂN
取り除く,とりのぞく,Gỡ bỏ,THỦ TRỪ
取り替える,とりかえる,Thay thế,THỦ THẾ
取り付ける,とりつける,"Lắp đặt, trang bị (đồ dùng trong nhà)",THỦ PHÓ
取り扱う,とりあつかう,"Thao tác, xử lý, sử dụng, đảm trách.",THỦ TRÁP
取決める,とりきめる,"Đồng ý, quyết định, thỏa thuận",THỦ QUYẾT
取り纏める,とりまとめる,"Sưu tập, sắp xếp, gom lại.",THỦ TRIỀN
取止める,とりやめる,Hủy,THỦ CHỈ
取り寄せる,とりよせる,"mang đến, gửi đến, giữ lại, đặt hàng",THỦ KÍ
突き返す,つきかえす,"bác bỏ, từ chối, bị trả lại, không chấp nhận",ĐỘT PHẢN
突き飛ばす,つきとばす,"Đẩy ra, xô ra",ĐỘT PHI
突き上げる,つきあげる,"Đẩy lên, giơ cao nắm tay.",ĐỘT THƯỢNG
突き出す,つきだす,"Đẩy ra ngoài, chìa ra, ưỡn ra.",ĐỘT XUẤT
突き放す,つきはなす,"Bỏ rơi, từ bỏ, cho đi, buông ra.",ĐỘT PHÓNG
突きつける,つきつける,dí vào、đẩy vào,ĐỘT
突き合わせる,つきあわせる,"Đối diện, đối mặt, so sánh",ĐỘT HỢP
突き止める,つきとめる,"Xác nhận, điều tra, làm sáng tỏ",ĐỘT CHỈ
突き詰める,つきつめる,"Nghĩ thông suốt, suy nghĩ kỹ",ĐỘT CẬT
