japanese,reading,meaning,sinoVietnamese
打ち切る,うちきる,"Ngưng, dừng lại",ĐẢ THIẾT
裂く,さく,"Xé ra, tách ra",LIỆT
割く,さく,"Dành thời gian, sử dụng phần nào đó, mổXé; mổ banh ra; phanh ra; chia cắt; chia lìa .",CÁT
割り当てる,わりあてる,"Chỉ định, phân công",CÁT ĐƯƠNG
見なす,みなす,"Xem như, coi như",KIẾN
見抜く,みぬく,Nhìn thấu,KIẾN BẠT
見極める,みきわめる,"Nhận rõ, nhìn thấu suốt",KIẾN CỰC
見逃す,みのがす,"Bỏ qua, làm ngơ ( tội trạng, lỗi lầm....)Lỡ, bỏ quên, bỏ sót",KIẾN ĐÀO
見損なう,みそこなう,"Bỏ lỡ, mất",KIẾN TỔN
見出す,みいだす,"Phát hiện, tìm ra",KIẾN XUẤT
煽てる,おだてる,"Tâng bốc, nịnh nọt, xúi dục",PHIẾN
ちやほやする,ちやほやする,"Nuông chiều, làm hư",
貶す,けなす,"chê bai, dèm pha",BIẾM
冷やかす,ひやかす,"Chế diễu, trêu",LÃNH
もてなす,もてなす,"Tiếp đãi, chiêu đãi",
(に)~仕える,つかえる,"Phục vụ, làm việc cho",SĨ
導く,みちびく,"Dẫn dắt, Hướng dẫn, dẫn đường",ĐẠO
背く,そむく,"Chống đối, Phản kháng, không nghe lời",BỐI
慕う,したう,"Tưởng nhớ, ngưỡng mộQuấn quýt, quyến luyến",MỘ
察する,さっする,"Cảm nhận, cảm thấy",SÁT
告げる,つげる,"Báo cáo, thông cáo",CÁO
促す,うながす,"Hối thúc, thúc dục, đề nghịKhuyến khích",XÚC
委ねる,ゆだねる,"Giao phó, ủy thác",ỦY
訴える,うったえる,"tố tụng, kiện cáo, kêu gọi",TỐ
親しむ,したしむ,"Thân thiện vớiGần gũi, thân thiết",THÂN
挑む,いどむ,Thử tháchThử sức,KHIÊU
仰ぐ,あおぐ,"Nhìn lên, ngưỡng mộ, tôn kính",NGƯỠNG
拝む,おがむ,"Chắp tay, mong cầu, cầu khẩnChiêm ngưỡng",BÁI
葬る,ほうむる,"Chôn cất, an táng, đóng vào",TÁNG
