japanese,reading,meaning,sinoVietnamese
登場,とうじょう,"lối vào, sự xuất hiện (trên màn ảnh)",ĐĂNG TRÀNG
回復,かいふく,hồi phục,HỒI PHỤC
援助,えんじょ,viện trợ,VIÊN TRỢ
保険,ほけん,bảo hiểm,BẢO HIỂM
追加,ついか,"thêm vào, cho vào",TRUY GIA
応用,おうよう,ứng dụng,ỨNG DỤNG
解答(回答),かいとう,"trả lời, hồi đáp",
結論,けつろん,kết luận,KẾT LUẬN
案,あん,"kế hoạch, ý tưởng",ÁN
集中,しゅうちゅう,tập trung,TẬP TRUNG
区別,くべつ,phân biệt,KHU BIỆT
差別,さべつ,"phân biệt, phân biệt đối xử (chủng tộc)",SOA BIỆT
中間,ちゅうかん,ở giữa,TRUNG GIAN
逆,ぎゃく,ngược lại,NGHỊCH
他所,よそ,nơi khác,THA SỞ
外,そと,"ngoài ra, khác, bên ngoài",NGOẠI
境,さかい,"biên giới, ngăn cách",CẢNH
半ば,なかば,"một nửa, ở giữa",BÁN
普段,ふだん,"thường xuyên, đều đặn 常に、屡々",PHỔ ĐOẠN
日常,にちじょう,hàng ngày,NHẬT THƯỜNG
一般,いっぱん,"thông thường, cái chung レギュラー、普通、",NHẤT BÀN
常識,じょうしき,"thường thức, kiến thức thông thường",THƯỜNG THỨC
諺,ことわざ,thành ngữ,NGẠN
権利,けんり,quyền lợi(290),QUYỀN LỢI
義務,ぎむ,nghĩa vụ,NGHĨA VỤ
切っ掛け(切掛),きっかけ,"cơ hội, dịp, cớ, nguyên cớ, khởi đầu",
行動,こうどう,hành động,HÀNH ĐỘNG
使用,しよう,sử dụng,SỬ DỤNG
提出,ていしゅつ,sự nộp,ĐỀ XUẤT
期限,きげん,"giới hạn, kỳ hạn 期日",KÌ HẠN
延期,えんき,trì hoãn,DUYÊN KÌ
延長,えんちょう,kéo dài長,DUYÊN TRƯỜNG
短縮,たんしゅく,rút ngắn,ĐOẢN SÚC
映像,えいぞう,hình ảnh イメージ,ÁNH TƯỢNG
撮影,さつえい,chụp ảnh,TOÁT ẢNH
背景,はいけい,"bối cảnh, phông nền",BỐI CẢNH
独立,どくりつ,độc lập,ĐỘC LẬP
候補,こうほ,"ứng cử, ứng cử viên",HẬU BỔ
支持,しじ,"hỗ trợ, sự ủng hộ . 応援",CHI TRÌ
投票,とうひょう,sự bỏ phiếu,ĐẦU PHIẾU
当選,とうせん,"trúng cử, trúng giải",ĐƯƠNG TUYỂN
抽選,ちゅうせん,rút thăm,TRỪU TUYỂN
配布,はいふ,phân phát 配る,PHỐI BỐ
失格,しっかく,"mất tư cách, mất quyền",THẤT CÁCH
余暇,よか,thời gian rỗi,DƯ HẠ
行事,ぎょうじ,sự kiện (các ngày lễ trong năm),HÀNH SỰ
理想,りそう,lý tưởng,LÍ TƯỞNG
現実,げんじつ,"hiện thực, thực tế 実際、実物、実に、本当に",HIỆN THỰC
体験,たいけん,trải nghiệm 体感,THỂ NGHIỆM
空想,くうそう,"không thực tế, mơ mộng, không tưởng",KHÔNG TƯỞNG
実物,じつぶつ,"thực chất, nguyên bản",THỰC VẬT
実現,じつげん,thực hiện; hiện thực hoá;,THỰC HIỆN
実施,じっし,thực thi,THỰC THI
許可,きょか,sự cho phép,HỨA KHẢ
全体,ぜんたい,toàn thể,TOÀN THỂ
部分,ぶぶん,bộ phận,BỘ PHÂN
統一,とういつ,thống nhất 一致,THỐNG NHẤT
拡大,かくだい,"zoom to lên, mở rộng, lan rộng 増大",KHUẾCH ĐẠI
縮小,しゅくしょう,"zoom nhỏ, co nhỏ, nén lại",SÚC TIỂU
集合,しゅうごう,tập hợp,TẬP HỢP
方向,ほうこう,phương hướng,PHƯƠNG HƯỚNG
間隔,かんかく,"khoảng cách, khoảng giữa(距離)きょり",GIAN CÁCH
脇,わき,nách,HIẾP
通過,つうか,thông qua,THÔNG QUÁ
移動,いどう,di chuyển,DI ĐỘNG
停止,ていし,"dừng lại, tạm dừng(N)",ĐÌNH CHỈ
低下,ていか,sự giảm; sự suy giảm,ĐÊ HẠ
超過,ちょうか,(N)vượt quá (quá cân hành lý) 過大、過剰な、余裕,SIÊU QUÁ
