japanese,reading,meaning,sinoVietnamese
懸ける/賭ける,かける,"Cá độ, đặt cược",HUYỀN/ĐỔ
止す,よす,"Từ chối, từ bỏ",CHỈ
交わす,かわす,Trao đổi,GIAO
賑わう,にぎわう,"Sôi nổi, náo nhiệt, sôi động, huyên náo, đông đúc",CHẤN
受け入れる,うけいれる,"Chấp nhận, đồng ý",THỤ NHẬP
頑丈な,がんじょうな,"Chắc chắn, mạnh mẽ",NGOAN TRƯỢNG
柔軟な,じゅうなんな,"Mềm dẻo, linh hoạt",NHU NHUYỄN
平らな,たいらな,Bằng phẳng,BÌNH
平行な,へいこうな,Song song,BÌNH HÀNH
手近な,てぢかな,"Có sẵn, quen thuộc, gần",THỦ CẬN
渋い,しぶい,"Chát, đắng",SÁP
香ばしい,こうばしい,"Thơm, có mùi",HƯƠNG
華やかな,はなやかな,"Lộng lẫy, tráng lệ , tươi thắm,",HOA
盛大な,せいだいな,"Hùng vĩ, hoành tráng, to lớn",THỊNH ĐẠI
鮮やかな,あざやかな,"Sống động, tươi tắn",TIÊN
滑らかな,なめらかな,"Nhuần nhuyễn, lưu loát, trơn tru",HOẠT
平凡な,へいぼんな,Bình thường,BÌNH PHÀM
素朴な,そぼくな,"Mộc mạc, đơn giản",TỐ PHÁC
精密な,せいみつな,Chính xác,TINH MẬT
極端な,きょくたんな,Cực đoan,CỰC ĐOAN
猛烈な,もうれつな,"Mãnh liệt, mạnh",MÃNH LIỆT
厳重な,げんじゅうな,Nghiêm ngặt,NGHIÊM TRỌNG
十分な,じゅうぶんな,ĐẦY ĐỦ,THẬP PHÂN
大幅な,おおはばな,"Khá, tương đối, đáng kể",ĐẠI PHÚC
膨大な,ぼうだいな,"To lớn, rất nhiều",BÀNH ĐẠI
乏しい,とぼしい,"Nghèo nàn, thiếu sót, không đủ",PHẠP
僅かな,わずかな,"Chút ít, chỉ",CẬN
かすかな,かすかな,"Thấp thoáng, Nhợt nhạt",
微妙な,びみょうな,"Tinh tế、nửa này nửa kia, không rõ ràng",VI DIỆU
急激な,きゅうげきな,Đột nhiên,CẤP KÍCH
急速な,きゅうそくな,Đột nhiên,CẤP TỐC
強硬な,きょうこうな,"Mạnh mẽ, ngoan cường, cứng rắn",CƯỜNG NGẠNH
余計な,よけいな,"Không cần thiết, dư thừa, vượt quá",DƯ KẾ
不審な,ふしんな,"Nghi ngờ, đáng ngờ",BẤT THẨM
公式な,こうしきな,"Chính thức, công thức",CÔNG THỨC
正当な,せいとうな,"Chính đáng, đúng đắn",CHÍNH ĐƯƠNG
正常な,せいじょうな,Bình thường,CHÍNH THƯỜNG
完璧な,かんぺきな,Hoàn hảo,HOÀN BÍCH
簡潔な,かんけつな,"Súc tích, ngắn gọn",GIẢN KHIẾT
明白な,めいはくな,"Minh bạch, rõ ràng",MINH BẠCH
客観的な,きゃっかんてぎな,Khách quan,KHÁCH QUAN ĐÍCH
婉曲な,えんきょくな,"Quanh co, vòng vo, lòng vòng",UYỂN KHÚC
不可欠な,ふかけつな,Không thể thiếu,BẤT KHẢ KHIẾM
有利な,ゆうりな,"Có ích, có lợi",HỮU LỢI
有望な,ゆうぼうな,Có triển vọng,HỮU VỌNG
待ち遠しい,まちどおしい,"Mong ngóng, háo hức mong chờ",ĐÃI VIỄN
喜ばしい,よろこばしい,"Sướng, vui mừng, hạnh phúc",HỈ
疑わしい,うたがわしい,Nghi ngờ,NGHI
楽観的な,らっかんてきな,Lạc quan,LẠC QUAN ĐÍCH
ボケる,ぼける,Lẩm cẩm,
ぶかぶか,ぶかぶか,"To, rộng thùng thình",
