japanese,reading,meaning,sinoVietnamese
ひっくり返す,ひっくりかえす,đảo lộn. lật ngược,
ずれる,ずれる,"trượt, đi chệch が",HOẠT
ずらす,ずらす,"rời ra, lùi ra, hoãn lại, を",
崩れる,くずれる,sụp đổ が,BĂNG
崩す,くずす,phá を 荒らす,BĂNG
荒れる,あれる,"bão bùng, hỗn loạn",HOANG
荒らす,あらす,"tàn phá, gây thiệt hại, phá hoại を 崩す",HOANG
認める,みとめる,"(V)thừa nhận, công nhận, chứng nhận",NHẬN
見直す,みなおす,"nhìn lại, cân nhắc lại",KIẾN TRỰC
見慣れる,みなれる,"quen, nhẵn mặt",KIẾN QUÁN
求める,もとめる,"tìm kiếm, yêu cầu, mong muốn",CẦU
漏れる,もれる,"bị rò rỉ, lọt qua, rỉ ra が",LẬU
漏らす,もらす,làm lộ; làm rò rỉ を,LẬU
なる,なる,"ra (hoa), kết (quả)",THÀNH
焦げる,こげる,bị cháy,TIÊU
反する,はんする,trái lại,PHẢN
膨れる,ふくれる,"phồng, sưng が 膨らむ",BÀNH
膨らむ,ふくらむ,"to ra, làm to ra, phồng lên, が・を 膨れる、膨らます",BÀNH
膨らます,ふくらます,"phồng, thổi phồng, phình, を",BÀNH
尖る,とがる,"nhọn, được chuốt nhọn が",TIÊM
当てはまる,あてはまる,"()áp dụng, ứng dụng 応用",V
就く,つく,"bắt đầu, đảm nhận, theo 受け持つ、引き受ける、受け入れる",TỰU
受け持つ,うけもつ,"đảm nhận, phụ trách, đảm đương (trách nhiệm) 引き受ける、就く、受け入れる >< 受け流す",THỤ TRÌ
従う,したがう,"theo đó, theo",TÙNG
呟く,つぶやく,"thì thầm, thì thào",HUYỀN
目覚める,めざめる,"thức giấc, mở mắt",MỤC GIÁC
限る,かぎる,"chỉ giới hạn, chỉ có, tốt hơn hết là...",HẠN
片寄る・偏る,かたよる,dồn về một phía,
薄まる,うすまる,"bị nhạt đi, phai nhòa が 薄れる",BẠC
薄める,うすめる,"pha loãng, làm nhạt đi を",BẠC
薄れる,うすれる,"mất dần đi, mỏng dần, nhạt đi, が 薄まる",BẠC
透き通る,すきとおる,"(V) trong suốt, trong vắt 透明な",THẤU THÔNG
静まる・鎮まる,しずまる,"trở nên yên lặng, lắng xuống, ngớt dần đi が",
静める・鎮める,しずめる,"yên lặng, làm giảm bớt, trấn ápを",
優れる,すぐれる,"giỏi, ưu tú, tốt",ƯU
落ち着く,おちつく,"(V)bình tĩnh, thanh thản, lắng xuống, trầm lắng",LẠC TRỨ
長引く,ながびく,(V)được kéo dài 持続,TRƯỜNG DẪN
衰える,おとろえる,suy yếu =弱くなる,
備わる,そなわる,"lắp đặt, chuẩn bị, sẵn có が整う・調う",BỊ
備える,そなえる,"lắp đặt, chuẩn bị, sẵn có を 整える・調える chuan bi trong cac truong hop xau",BỊ
蓄える,たくわえる,"bảo quản, bảo vệ, tích lũy Cách nhớ từ vựng : Ta (た) ngậm (咥える:くわえる) để tích luỹ 蓄える",SÚC
整う・調う,ととのう,"đã được chuẩn bị, sẵn sàng が 備わる",
整える・調える,ととのえる,"chuẩn bị, nếm を 備える",
覆う,おおう,"phủ lên, che phủ, che を被せる",PHÚC
照る,てる,được chiếu sáng が,CHIẾU
照らす,てらす,chiếu sáng を,CHIẾU
染まる,そまる,"bị nhuộm, nhiễm が",NHIỄM
染める,そめる,"nhuộm, nhiễm を",NHIỄM
ダブる,だぶる,"nhân đôi, chồng chất 重ねる",
憧れる,あこがれる,"mong ước, mơ ước",SUNG
羨む,うらやむ,"(V)đố kỵ, ghen tị 羨ましい",TIỆN
諦める,あきらめる,từ bỏ,ĐẾ
呆れる,あきれる,"(V)bị shock, ngạc nhiên サプライズ、驚く、案外",NGỐC
恐れる,おそれる,"(V)sợ, lo sợ, khủng khiếp, đáng sợ を (恐らく)",KHỦNG
恨む,うらむ,"hận, căm ghét, căm thù",HẬN
慰める,なぐさめる,"an ủi, động viên 励ます",ÚY
