japanese,reading,meaning,sinoVietnamese
何なりと,なんなりと,"Bất cứ cái gì, bằng mọi giá",HÀ
どうやら,どうやら,"dường như là, có vẻ là, rồi cũng",
余程,よほど,"Rất, khá, đáng kể",DƯ TRÌNH
さほど,さほど,Không....lắm,
到底,とうてい,Hoàn toàn......không,ĐÁO ĐỂ
一見,いっけん,"Thoáng nhìn, thoạt nhìn, nhìn qua",NHẤT KIẾN
一向に,いっこうに,Hoàn toàn (không),NHẤT HƯỚNG
一概に,いちがいに,Cứ.......thì không phải一概 ~ ない: ko thể nhất nhất cho rằng,NHẤT KHÁI
ろくに,ろくに,"Đầy đủ, tươm tất",
何でも,なんでも,"Nghe nói là, Theo tôi biết thìBất cứ cái gì",HÀ
及ぶ,およぶ,"Và, cũng như",CẬP
並びに,ならびに,"Và, cũng như, đồng thời, cả 2",TỊNH
もしくは,もしくは,"Hoặc là, hay là, có lẽ",
但し,ただし,"Nhưng, tuy nhiên",ĐÃN
なお,なお,"Thêm vào đó, vẫn thậm chí, ngoài ra",
因みに,ちなみに,"Tiện đây, nhân tiện, nhân thể",NHÂN
もっとも,もっとも,"Đương nhiên Khá đúng, có lý, mặc dù",
故に,ゆえに,"Vì vậy, do đó",CỐ
よって,よって,"Bởi vậy, bởi vì, vì thế, theo đó",
第一,だいいち,"Trước tiên, trên hết",ĐỆ NHẤT
団らん,だんらん,Tụ họp gia đình,ĐOÀN
行楽,こうらく,Chuyến đi tham quan,HÀNH LẠC
本場,ほんば,Quê nhà của ~,BẢN TRƯỜNG
相席,あいせき,"Ngồi cùng bàn, ngồi chung bàn",TƯƠNG TỊCH
褒美,ほうび,Phần thưởng,BAO MỸ
遺産,いさん,"Di sản, Tài sản để lại",DI SẢN
台無し,だいなし,"Phá hủy, tiêu tanHỗn độn, lộn xộn",ĐÀI VÔ
心構え,こころがまえ,Chuẩn bị,TÂM CẤU
心地,ここち,"Cảm giác, tâm trạng",TÂM ĐỊA
根気,こんき,Kiên nhẫn,CĂN KHÍ
意地,いじ,"Tâm địa, tấm lòng, tâm hồn",Ý ĐỊA
自覚,じかく,"Tự giác, tự ý thức, lương tri",TỰ GIÁC
偏見,へんけん,"Thành kiếnCái nhìn, cách suy nghĩ phiến diện",THIÊN KIẾN
誘惑,ゆうわく,"Quyến rũ, mê hoặc, dụ dỗ",DỤ HOẶC
束縛,そくばく,"Ràng buộc, trói buộc Kiềm chế, giới hạn",THÚC PHƯỢC
油断,ゆだん,"Lơ là, cẩu thả",DU ĐOẠN/ĐOÁN
野心,やしん,Tham vọng,DÃ TÂM
衝動,しょうどう,"Rung động, hành động theo bản năng.",XUNG ĐỘNG
信念,しんねん,"Tin tưởng, lòng tin",TÍN NIỆM
配慮,はいりょ,"Sự quan tâm, sự chăm sóc",PHỐI LỰ
ゆとり,ゆとり,"từ từ, thảnh thơi, thong thả, có thời gianDư thừa",
包容力,ほうようりょく,"Sự bao dung, sự độ lượng",BAO DUNG LỰC
相応,そうおう,Phù hợp,TƯƠNG ỨNG
並み,なみ,"Bình thường, trung bình",TỊNH
体裁,ていさい,"Tác phong, phong cách, phòng thái đoan trang",THỂ TÀI
背伸び,せのび,"Nhón chân, với cao, vươn vai, duỗi lưng",BỐI THÂN
愚痴,ぐち,"Than thở, than vãn",NGU SI
野次,やじ,"Chế diễu, trêu",DÃ THỨ
差し入れ,さしいれ,"Đồ đựng (đồ ăn, vật cần thiết)",SOA NHẬP
声援,せいえん,"Niềm khích lệ, niềm cổ vũ động viên, tiếng hoan hô",THANH VIỆN
首脳,しゅのう,"Não, đầu não, người lãnh đạo",THỦ NÃO
介入,かいにゅう,Can thiệp,GIỚI NHẬP
兵,へい,"Binh lính, quân đội",BINH
干渉,かんしょう,Can thiệp,KIỀN THIỆP
侵害,しんがい,"Xâm phạm, vi phạm",XÂM HẠI
警戒,けいかい,"Canh phòng, cảnh giác",CẢNH GIỚI
危機,きき,"Khủng hoảng, nguy cơ",NGUY CƠ
衝撃,しょうげき,"Sốc, va đập",XUNG KÍCH
譲歩,じょうほ,"Thỏa hiệp, nhượng bộ",NHƯỢNG BỘ
貢献,こうけん,Cống hiến,CỐNG HIẾN
推進,すいしん,"Đẩy mạnh, xúc tiến",THÔI TIẾN
整備,せいび,"Bảo dưỡng, bảo trì",CHỈNH BỊ
歯止め,はどめ,"Thắng, dừng (xe)Kiểm soát,khống chế",XỈ CHỈ
成果,せいか,Thành quả,THÀNH QUẢ
正義,せいぎ,Chính nghĩa,CHÍNH NGHĨA
規律,きりつ,"Quy luật, quy tắc",QUY LUẬT
