japanese,reading,meaning,sinoVietnamese
振動,しんどう,"Chấn động, rung lắc",CHẤN ĐỘNG
沸騰,ふっとう,"Sôi, đỉnh điểm",PHÍ ĐẰNG
循環,じゅんかん,Tuần Hoàn,TUẦN HOÀN
回収,かいしゅう,Thu hồi,HỒI THU
獲得,かくとく,"Thu thập, dành được",HOẠCH ĐẮC
区間,くかん,"Đoạn, khoảng cách, khu vực",KHU GIAN
施設,しせつ,"Cơ sở, thiết bị",THI THIẾT
運営,うんえい,Quản lý,VẬN DOANH
面会,めんかい,Gặp gỡ,DIỆN HỘI
返却,へんきゃく,"Trả lại, hoàn trả",PHẢN KHƯỚC
投書,とうしょ,Thư bạn đọc,ĐẦU THƯ
検索,けんさく,"Tra cứu, tìm kiếm",KIỂM TÁC
負傷,ふしょう,Bị thương,PHỤ THƯƠNG
感染,かんせん,"Bị nhiễm, lây nhiễm",CẢM NHIỄM
くすぐったい,くすぐったい,"Buồn, (nhột) ngại ngùng",
だるい,だるい,"Chậm chạp, uể oải",
憂鬱な,ゆううつ(な),Buồn rầu,"ƯU, ÚC /UẤT"
勤勉な,きんべん(な),"Cần cù, siêng năng, chăm chỉ",CẦN MIỄN
冷静な,れいせい(な),Bình tĩnh,LÃNH TĨNH
賢明な,けんめい(な),Khôn ngoan,HIỀN MINH
温和な/穏和な,おんわ(な),Ôn hòa,ÔN/ỔN HÒA
大らかな,おおらか(な),"Rộng lượng, phóng khoáng",ĐẠI
呑気な,のんき(な),"Vô tư, lạc quan",THÔN KHÍ
大ざっぱな,おおざっぱ(な),"Đại khái, qua loa",ĐẠI
大げさな,おおげさ(な),Quan trọng hóa vấn đề; làm to tát,ĐẠI
前向きな,まえむき(な),"Cầu tiến, lạc quan, Tích cực",TIỀN HƯỚNG
陽気な,ようき(な),"Vui vẻ, Hòa đồng",DƯƠNG KHÍ
若々し(い),わかわかしい,Trẻ trung,NHƯỢC
敏感な,びんかん(な),"Mẫn cảm, nhạy cảm",MẪN CẢM
勇敢な,ゆうかん(な),Dũng cảm,DŨNG CẢM
無口な,むくち(な),Ít nói,VÔ KHẨU
利口な,りこう(な),Khéo nói,LỢI KHẨU
愚かな,おろか(な),"Ngốc nghếch, ngớ ngẩn",NGU
臆病な,おくびょう(な),"Nhút nhát, sợ sệt",ỨC BỆNH
幼稚な,ようち(な),"Ấu trĩ, trẻ con",ẤU TRĨ
未熟な,みじゅく(な),"Chưa trưởng thành, non nớt",VỊ THỤC
貧弱な,ひんじゃく(な),"1. Nghèo nàn, đói kém2. Yếu",BẦN NHƯỢC
