japanese,reading,meaning,sinoVietnamese
拡散,かくさん,"Khuếch tán, phát tán, lan rộng",KHUẾCH TÁN
膨張,ぼうちょう,"Mở rộng, bành trướng",BÀNH TRƯỚNG
無数,むすう,"Vô số, vô kể",VÔ SỐ
固執,こしつ,Cố chấp,CỐ CHẤP
阻害,そがい,"Trở ngại, cản trở",TRỞ HẠI
擁護,ようご,"Ủng hộ, hỗ trợ",ỦNG HỘ
保証,ほしょう,"Đảm bảo, xác nhận",BẢO CHỨNG
補償,ほしょう,"Đền bù, đảm bảo",BỔ THƯỜNG
補足,ほそく,Bổ trợ,BỔ TÚC
補給,ほきゅう,Bổ sung,BỔ CẤP
摂取,せっしゅ,"Hấp thụ, truyền (nước, văn hóa)",NHIẾP THỦ
欠乏,けつぼう,"Thiếu, thiếu hụt, thiếu sót",KHIẾM PHẠP
添加,てんか,"Thêm vào, phép cộngPhụ gia (thực phẩm)",THÊM GIA
成分,せいぶん,Thành phần,THÀNH PHẦN
内訳,うちわけ,"Diễn giải thành từng mục, phân lọaiLiệt kê",NỘI DỊCH
除外,じょがい,"Ngọai trừ, lọai trừ",TRỪ NGỌAI
還元,かんげん,"Trở về, phục hồi trạng thái ban đầu",HOÀN NGUYÊN
共存,きょうぞん/きょうそん,Cùng tồn tại,CỘNG TỒN
奨励,しょうれい,"Động viên, khuyến khích",TƯỞNG LỆ
報酬,ほうしゅう,"Tiền công, thù lao",BÁO THÙ
待望,たいぼう,Kỳ vọng,ĐÃI VỌNG
節度,せつど,Chừng mực,TIẾT ĐỘ
義理,ぎり,"Lễ tiết, lễ nghĩa, đạo lýQuan hệ gia đình bên vợ/chồng",NGHĨA LÝ
情緒,じょうちょ/じょうしょ,"Cảm xúc, tinh thần",TÌNH TỰ
動揺,どうよう,"Giao động, lung lay",ĐỘNG GIAO
むら,むら,"Không đều, chắp vá",
風潮,ふうちょう,"Xu hướng, phong trào",PHONG TRIỀU
実態,じったい,"Thực tế, thực trạng",THỰC THÁI
暴露,ばくろ,"Bộc lộ, lộ ra, vạch trần, phơi bày",BẠO LỘ
逃亡,とうぼう,"Trốn chạy, bỏ chạy, lưu vong",ĐÀO VONG
逃避,とうひ,"Lẫn tránh, né tránh",ĐÀO TỊ
第三者,だいさんしゃ,Bên thứ 3,ĐỆ TAM GIẢ
言い分,いいぶん,"Giải bày, giải thích, phân trần, biện hộ",NGÔN PHÂN
言いなり,いいなり,"Vâng lời, gọi dạ bảo vâng",NGÔN
模倣,もほう,"Mô phỏng, bắt chước, sao chép",MÔ PHỎNG
着目,ちゃくもく,"Chú ý, tập trung vào",TRƯỚC MỤC
趣,おもむき,"Cảnh tượng, dáng vẻSắc thái riêng, phong cách",THÚ
渦,うず,Xóay (nước),QUA
溝,みぞ,"Khoảng cách, rãnh",CÂU
折,おり,Cơ hội,CHIẾT
つる,つる,"Chuột rút, nghiêng, treo",
吊るす,つるす,"Treo, trì hoãn, đình chỉ",ĐIẾU
研ぐ,とぐ,"Gọt, làm sắc, vo (gạo)",NGHIÊN
もむ,もむ,"Xoa bóp, ôm chặt, được đào tạo, lo lắng về ~",
揺さぶる,ゆさぶる,"Rung, lắc, đung đưa, chấn động",DAO
もたれる,もたれる,"Khó tiêu, dựa vào",
しがみつく,しがみつく,"Níu lấy, bám vào",
付きまとう,つきまとう,"Theo dõi, bám theo, theo sau",PHÓ
懐く,なつく,"Quen với, gắn chặt",HÒAI
構う,かまう,"Quan tâm, lo lắng về ~. Chăm sóc, để tâm",CẤU
見せびらかす,みせびらかす,Khoe khoang,KIẾN
強請る,ねだる,"Kỳ kèo, năn nỉ, vòi vĩnh",CƯỜNG THỈNH
宥める,なだめる,"An ủi, dỗ dành",HỰU
労わる,いたわる,"Chăm sóc, trông nom",LAO
触れ合う,ふれあう,"Chạm, tiếp xúc, liên lạc, liên hệ",XÚC HỢP
とぼける,とぼける,"Giả nai, giả vờ không biết",HỐT
ごまかす,ごまかす,"Đánh trống lãngLừa, bao che",
脅かす,おびやかす,Đe dọa,HIẾP
怯える,おびえる,"Lo sợ, sợ hãi",KHIẾP
