japanese,reading,meaning,sinoVietnamese
懸ける/賭ける,かける,"Cá độ, đặt cược",HUYỀN/ĐỔ
止す,よす,"Từ chối, từ bỏ",CHỈ
交わす,かわす,Trao đổi,GIAO
賑わう,にぎわう,"Sôi nổi, náo nhiệt, sôi động, huyên náo, đông đúc",CHẤN
受け入れる,うけいれる,"Chấp nhận, đồng ý",THỤ NHẬP
頑丈な,がんじょう(な),"Chắc chắn, mạnh mẽ",NGOAN TRƯỢNG
柔軟な,じゅうなん(な),"Mềm dẻo, linh hoạt",NHU NHUYỄN
平らな,たいら(な),Bằng phẳng,BÌNH
平行な,へいこう(な),Song song,BÌNH HÀNH
手近な,てぢか(な),"Có sẵn, quen thuộc, gần",THỦ CẬN
渋い,しぶい,"Chát, đắng",SÁP
香ばしい,こうばしい,"Thơm, có mùi",HƯƠNG
華やかな,はなやか(な),"Lộng lẫy, tráng lệ , tươi thắm,",HOA
盛大な,せいだい(な),"Hùng vĩ, hoành tráng, to lớn",THỊNH ĐẠI
鮮やかな,あざやか(な),"Sống động, tươi tắn",TIÊN
滑らかな,なめらか(な),"Nhuần nhuyễn, lưu loát, trơn tru",HOẠT
平凡な,へいぼん(な),Bình thường,BÌNH PHÀM
素朴な,そぼく(な),"Mộc mạc, đơn giản",TỐ PHÁC
精密な,せいみつ(な),Chính xác,TINH MẬT
極端な,きょくたん(な),Cực đoan,CỰC ĐOAN
猛烈な,もうれつ(な),"Mãnh liệt, mạnh",MÃNH LIỆT
厳重な,げんじゅう(な),Nghiêm ngặt,NGHIÊM TRỌNG
十分な,じゅうぶん(な),ĐẦY ĐỦ,THẬP PHÂN
大幅な,おおはば(な),"Khá, tương đối, đáng kể",ĐẠI PHÚC
膨大な,ぼうだい(な),"To lớn, rất nhiều",BÀNH ĐẠI
乏しい,とぼし(い),"Nghèo nàn, thiếu sót, không đủ",PHẠP
僅かな,わずか(な),"Chút ít, chỉ",CẬN
かすか(な),かすか(な),"Thấp thoáng, Nhợt nhạt",
微妙な,びみょう(な),"Tinh tế、nửa này nửa kia, không rõ ràng",VI DIỆU
急激な,きゅうげき(な),Đột nhiên,CẤP KÍCH
急速な,きゅうそく(な),Đột nhiên,CẤP TỐC
強硬な,きょうこう(な),"Mạnh mẽ, ngoan cường, cứng rắn",CƯỜNG NGẠNH
余計な,よけい(な),"Không cần thiết, dư thừa, vượt quá",DƯ KẾ
不審な,ふしん(な),"Nghi ngờ, đáng ngờ",BẤT THẨM
公式な,こうしき(な),"Chính thức, công thức",CÔNG THỨC
正当な,せいとう(な),"Chính đáng, đúng đắn",CHÍNH ĐƯƠNG
正常な,せいじょう(な),Bình thường,CHÍNH THƯỜNG
完璧な,かんぺき(な),Hoàn hảo,HOÀN BÍCH
簡潔な,かんけつ(な),"Súc tích, ngắn gọn",GIẢN KHIẾT
明白な,めいはく(な),"Minh bạch, rõ ràng",MINH BẠCH
客観的な,きゃっかんてぎ(な),Khách quan,KHÁCH QUAN ĐÍCH
婉曲な,えんきょく(な),"Quanh co, vòng vo, lòng vòng",UYỂN KHÚC
不可欠な,ふかけつ(な),Không thể thiếu,BẤT KHẢ KHIẾM
有利な,ゆうり(な),"Có ích, có lợi",HỮU LỢI
有望な,ゆうぼう(な),Có triển vọng,HỮU VỌNG
待ち遠しい,まちどおし(い),"Mong ngóng, háo hức mong chờ",ĐÃI VIỄN
喜ばしい,よろこばし(い),"Sướng, vui mừng, hạnh phúc",HỈ
疑わしい,うたがわし(い),Nghi ngờ,NGHI
楽観的な,らっかんてき(な),Lạc quan,LẠC QUAN ĐÍCH
ボケる,ぼける,Lẩm cẩm,
ぶかぶか,ぶかぶか,"To, rộng thùng thình",
